date,shift,line,machine,product_family,planned_shift_minutes,planned_break_minutes,planned_production_time_minutes,unplanned_downtime_minutes,downtime_reason,ideal_cycle_time_seconds,total_count,defect_count,operator_team,mes_correction_required,mes_correction_reason
2026-01-06,Morning,Line 1,Cartoner 1,Ice Cream Bar,480,45,435,54,Cleaning,1.15,18591,92,Team C,False,
2026-01-06,Morning,Line 2,Case Packer 2,Multipack,480,45,435,50,Breakdown,1.65,13024,447,Team D,False,
2026-01-06,Morning,Line 3,Case Packer 3,Cup,480,45,435,33,Cleaning,1.05,20433,275,Team B,False,
2026-01-06,Morning,Line 4,Extruder 4,Multipack,480,45,435,87,Changeover,1.65,10726,213,Team D,False,
2026-01-06,Evening,Line 1,Wrapper 1,Cone,480,45,435,58,Breakdown,1.35,14987,759,Team B,False,
2026-01-06,Evening,,Case Packer 2,Cone,480,45,435,72,Cleaning,1.35,13727,204,Team B,True,Line field missing
2026-01-06,Evening,Line 3,Case Packer 3,Cup,480,45,435,55,Cleaning,1.05,17518,486,Team D,False,
2026-01-06,Evening,Line 4,Extruder 4,Cone,480,45,435,82,Breakdown,1.35,13577,386,Team C,False,
2026-01-06,Night,Line 1,Cartoner 1,Cup,480,40,440,36,Quality Hold,1.05,18673,871,Team B,False,
2026-01-06,Night,Line 2,Freezer 2,Multipack,480,40,440,52,Material Waiting,1.65,12317,394,Team B,False,
2026-01-06,Night,Line 3,Moulder 3,Multipack,480,40,440,49,Breakdown,1.65,13203,299,Team A,False,
2026-01-06,Night,Line 4,Cartoner 4,Cone,480,40,440,70,Changeover,1.35,15050,299,Team A,False,
2026-01-07,Morning,Line 1,Wrapper 1,Sandwich,480,45,435,49,Cleaning,1.25,14952,308,Team D,False,
2026-01-07,Morning,Line 2,Case Packer 2,Multipack,480,45,435,64,Breakdown,1.65,12121,367,Team B,False,
2026-01-07,Morning,Line 3,Wrapper 3,Ice Cream Bar,480,45,435,51,Changeover,1.15,14525,110,Team B,False,
2026-01-07,Morning,Line 4,Wrapper 4,Sandwich,480,45,435,67,Packaging Jam,1.25,17027,352,Team D,False,
2026-01-07,Evening,Line 1,Wrapper 1,Multipack,480,45,435,32,Changeover,1.65,12205,428,Team C,False,
2026-01-07,Evening,Line 2,Case Packer 2,Cone,480,45,435,510,Breakdown,1.35,15199,283,Team C,True,Downtime exceeds available production time
2026-01-07,Evening,Line 3,Wrapper 3,Cone,480,45,435,47,Material Waiting,1.35,13418,364,Team B,True,Downtime reason manually reclassified
2026-01-07,Evening,Line 4,Extruder 4,Ice Cream Bar,480,45,435,95,Breakdown,1.15,13568,235,Team D,False,
2026-01-07,Night,Line 1,Wrapper 1,Cup,480,40,440,42,Material Waiting,1.05,16882,216,Team B,False,
2026-01-07,Night,Line 2,Filler 2,Ice Cream Bar,480,40,440,104,Material Waiting,1.15,15657,205,Team D,False,
2026-01-07,Night,Line 3,Case Packer 3,Cone,480,40,440,41,Material Waiting,1.35,15050,568,Team B,False,
2026-01-07,Night,Line 4,Extruder 4,Cup,480,40,440,39,Material Waiting,1.05,18814,458,Team D,False,
2026-01-08,Morning,Line 1,Filler 1,Multipack,480,45,435,21,Minor Stops,1.65,11784,192,Team A,False,
2026-01-08,Morning,Line 2,Case Packer 2,Cone,480,45,435,41,Quality Hold,1.35,16364,893,Team D,False,
2026-01-08,Morning,Line 3,Case Packer 3,Cone,480,45,435,49,Breakdown,1.35,13071,126,Team D,False,
2026-01-08,Morning,Line 4,Cartoner 4,Ice Cream Bar,480,45,435,58,Minor Stops,1.15,17365,706,Team B,False,
2026-01-08,Evening,Line 1,Wrapper 1,Multipack,480,45,435,76,Breakdown,1.65,11418,117,Team B,False,
2026-01-08,Evening,Line 2,Filler 2,Ice Cream Bar,480,45,435,53,Quality Hold,1.15,16529,1116,Team A,False,
2026-01-08,Evening,Line 3,Moulder 3,Ice Cream Bar,480,45,435,52,Packaging Jam,1.15,17176,395,Team A,True,Counter reconciliation pending
2026-01-08,Evening,Line 4,Extruder 4,Cone,480,45,435,41,Packaging Jam,1.35,14991,223,Team A,False,
2026-01-08,Night,Line 1,Filler 1,Cup,480,40,440,58,Quality Hold,1.05,16456,828,Team C,False,
2026-01-08,Night,Line 2,Filler 2,Sandwich,480,40,440,76,Changeover,1.25,15778,15803,Team B,True,Reject count greater than total count
2026-01-08,Night,Line 3,Case Packer 3,Sandwich,480,40,440,60,Breakdown,1.25,15944,191,Team C,False,
2026-01-08,Night,Line 4,Extruder 4,Cup,480,40,440,52,Material Waiting,1.05,18557,138,Team D,False,
2026-01-09,Morning,Line 1,Filler 1,Sandwich,480,45,435,40,Breakdown,1.25,15313,76,Team D,False,
2026-01-09,Morning,Line 2,Case Packer 2,Multipack,480,45,435,57,Packaging Jam,1.65,10856,259,Team D,False,
2026-01-09,Morning,Line 3,Wrapper 3,Cone,480,45,435,32,Changeover,1.35,13831,650,Team D,False,
2026-01-09,Morning,Line 4,Wrapper 4,Ice Cream Bar,480,45,435,99,Breakdown,1.15,13692,301,Team C,False,
2026-01-09,Evening,Line 1,Filler 1,Cup,480,45,435,45,Changeover,1.05,16714,370,Team A,True,Downtime reason manually reclassified
2026-01-09,Evening,Line 2,Filler 2,Sandwich,480,45,435,74,Material Waiting,1.25,15117,441,Team C,False,
2026-01-09,Evening,Line 3,Case Packer 3,Sandwich,480,45,435,55,Breakdown,1.25,18740,822,Team D,False,
2026-01-09,Evening,Line 4,Extruder 4,Cone,480,45,435,66,Cleaning,1.35,12644,496,Team D,True,Counter reconciliation pending
2026-01-09,Night,Line 1,Filler 1,Multipack,480,40,440,51,Quality Hold,1.65,10908,483,Team C,False,
2026-01-09,Night,Line 2,Freezer 2,Multipack,480,40,440,59,Breakdown,1.65,12084,515,Team D,False,
2026-01-09,Night,Line 3,Wrapper 3,Multipack,480,40,440,63,Packaging Jam,1.65,11381,56,Team C,False,
2026-01-09,Night,Line 4,Wrapper 4,Cone,480,40,440,56,Cleaning,1.35,14593,180,Team B,False,
2026-01-10,Morning,Line 1,Cartoner 1,Multipack,480,45,435,67,Minor Stops,1.65,12768,386,Team B,False,
2026-01-10,Morning,Line 2,Filler 2,Multipack,480,45,435,59,Material Waiting,1.65,10995,405,Team D,False,
2026-01-10,Morning,Line 3,Case Packer 3,Cup,480,45,435,50,Quality Hold,1.05,20981,1238,Team C,False,
2026-01-10,Morning,Line 4,Wrapper 4,Ice Cream Bar,480,45,435,53,Breakdown,1.15,16313,703,Team D,False,
2026-01-10,Evening,Line 1,Cartoner 1,Sandwich,480,45,435,40,Minor Stops,1.25,14460,245,Team A,False,
2026-01-10,Evening,Line 2,Filler 2,Ice Cream Bar,480,45,435,21,Material Waiting,1.15,19101,494,Team C,False,
2026-01-10,Evening,Line 3,Wrapper 3,Cup,480,45,435,41,Material Waiting,1.05,20426,122,Team B,False,
2026-01-10,Evening,Line 4,Cartoner 4,Multipack,480,45,435,87,Packaging Jam,1.65,11964,332,Team B,False,
2026-01-10,Night,Line 1,Filler 1,Multipack,480,40,440,39,Cleaning,1.65,12362,365,Team C,False,
2026-01-10,Night,Line 2,Case Packer 2,Cup,480,40,440,54,Packaging Jam,1.05,17518,480,Team B,False,
2026-01-10,Night,Line 3,Wrapper 3,Ice Cream Bar,480,40,440,58,Minor Stops,1.15,18482,584,Team D,False,
2026-01-10,Night,Line 4,Extruder 4,Multipack,480,40,440,58,Material Waiting,1.65,12066,491,Team A,False,
2026-01-11,Morning,Line 1,Filler 1,Cup,480,45,435,29,Cleaning,1.05,20767,649,Team C,False,
2026-01-11,Morning,Line 2,Freezer 2,Ice Cream Bar,480,45,435,44,Minor Stops,1.15,0,0,Team D,True,Zero-count production record
2026-01-11,Morning,Line 3,Wrapper 3,Ice Cream Bar,480,45,435,71,Packaging Jam,1.15,16680,523,Team B,False,
2026-01-11,Morning,Line 4,Cartoner 4,Ice Cream Bar,480,45,435,61,Changeover,1.15,17594,383,Team A,True,Quality rejection code needs approval
2026-01-11,Evening,Line 1,Cartoner 1,Ice Cream Bar,480,45,435,20,Quality Hold,1.15,14578,610,Team C,False,
2026-01-11,Evening,Line 2,Case Packer 2,Sandwich,480,45,435,83,Packaging Jam,1.25,16325,394,Team C,False,
2026-01-11,Evening,Line 3,Wrapper 3,Cup,480,45,435,45,Packaging Jam,1.05,18105,130,Team C,False,
2026-01-11,Evening,Line 4,Extruder 4,Ice Cream Bar,480,45,435,101,Packaging Jam,1.15,13059,388,Team A,False,
2026-01-11,Night,Line 1,Filler 1,Ice Cream Bar,480,40,440,68,Packaging Jam,1.15,15752,292,Team D,False,
2026-01-11,Night,Line 2,Freezer 2,Cup,480,40,440,52,Quality Hold,1.05,19650,1067,Team C,False,
2026-01-11,Night,Line 3,Wrapper 3,Cone,480,40,440,53,Packaging Jam,1.35,16325,483,Team C,False,
2026-01-11,Night,Line 4,Wrapper 4,Multipack,480,40,440,95,Cleaning,1.65,10858,292,Team C,False,
2026-01-12,Morning,Line 1,Cartoner 1,Cup,480,45,435,59,Packaging Jam,1.05,17045,100,Team C,False,
2026-01-12,Morning,Line 2,Filler 2,Multipack,480,45,435,59,Breakdown,1.65,13877,531,Team B,False,
2026-01-12,Morning,Line 3,Wrapper 3,Cup,480,45,435,61,Packaging Jam,1.05,19438,406,Team C,False,
